Cuenta,Region,Monto,Comentario
1100630002,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100630003,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100630004,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100630005,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100630007,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100630008,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100630009,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100631001,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100631002,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100631003,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100632000,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100632001,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100632002,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100632003,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100632004,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100632005,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100632006,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100633000,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100633002,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100633003,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100634000,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100634001,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100634002,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100634003,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100634004,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100634005,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100634006,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100635001,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100635003,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100636001,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100636002,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100636004,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100637000,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100637003,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100637004,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100637005,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100637007,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100637009,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100638000,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100638001,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100638002,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100638004,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100640000,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100641000,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100641001,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100642000,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100643000,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100644000,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100645000,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100647000,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100648000,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100649000,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1102205186,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1102340590,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1102342527,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1102342539,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1102344385,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1102344505,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1102346496,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1102822497,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1102838395,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1102838401,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1103946158,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1103951010,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1104084779,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1104091741,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1104092747,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1104110815,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1104115817,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1104115828,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
12278622,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100662012,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100664009,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100664010,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100665014,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100666010,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100666011,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100666013,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100668000,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100668008,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100668009,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100668011,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100668012,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100668043,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100668044,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100668049,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100669011,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100669012,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100669030,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100669035,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100670005,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100670007,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100670008,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100670013,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100670014,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100670028,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100670029,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100671011,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100671033,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100672012,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100672049,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100672051,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100673016,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100673034,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100674011,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100674012,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100674021,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100674049,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100675000,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100675001,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100675002,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100675003,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100675004,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100675010,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100675011,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100675023,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100675032,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100675034,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100675039,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100676000,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100676002,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100676008,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100676019,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100676026,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100676036,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100676047,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100676058,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100676059,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100677000,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100677002,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100677003,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100677004,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100677018,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100677037,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100678013,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100679016,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100679017,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100679023,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100679026,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100681007,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100681021,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100681030,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100682002,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100683004,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100683009,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100684001,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100684012,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100684015,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100684024,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100684031,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100685017,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100685039,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100687010,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100694004,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100694012,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100696000,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100701016,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100702003,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100708018,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100712019,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100715000,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100923341,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100928010,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100936005,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100992223,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100992271,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100992273,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100992279,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100993105,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100995264,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100996280,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100997279,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100998262,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1101000246,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1101000248,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1101000249,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1101000251,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1101001229,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1101001279,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1101001283,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1101005101,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1101006075,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1101006182,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1101009105,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1101013049,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1101064291,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1101065138,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1102192766,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1102200670,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1102298042,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1102318509,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
