"Reporte de ajustes por region"
"Región","Total","Numero de Cuentas"
"R01","$65189.30000000001","140"
"R02","$52672.120000000024","120"
"R03","$34633.39999999998","89"
"R04","$59632.140000000014","158"
"R05","$67197.99","153"
"R06","$46752.81","112"
"R07","$38504.37","85"
"R08","$41508.83999999999","89"
"R09","$273364.21000000025","416"
"Total","$679455.1800000007","1362"
