Account,Service Number,Reason Code,Adjust Type,Op Type,Open Amount,Ext Trans Id,Bill Cycle ID,Acct Balance,Balance Type,Eff Date,Exp Date,Notify Flag,Due Date,Remark,Invoice No,Invoice ID,Invoice Date,Region,Amount format
1100676028,,AC_AJCRASE,CR,1,52899.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919578,8771294,24-05-2020,R05,528.99
1100676064,,AC_AJCRASE,CR,1,49900.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919577,8771308,24-05-2020,R05,499.00
1100677031,,AC_AJCRASE,CR,1,39901.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919576,8781101,24-05-2020,R05,399.01
1100710027,,AC_AJCRASE,CR,1,22900.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003920556,8771265,24-05-2020,R02,229.00
1100716019,,AC_AJCRASE,CR,1,22900.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003920555,8771261,24-05-2020,R02,229.00
1100710028,,AC_AJCRASE,CR,1,50399.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003920554,8777112,24-05-2020,R02,503.99
1100710028,,AC_AJCRASE,CR,1,16966.0,,20200415,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003918681,8738020,15-05-2020,R02,169.66
1100619013,,AC_AJCRASE,CR,1,22900.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003920241,8783010,24-05-2020,R01,229.00
1100598006,,AC_AJCRASE,CR,1,59900.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919385,8782049,24-05-2020,R09,599.00
1100684023,,AC_AJCRASE,CR,1,78633.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919384,8775096,24-05-2020,R09,786.34
1100682028,,AC_AJCRASE,CR,1,59900.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919383,8775097,24-05-2020,R09,599.00
1100677019,,AC_AJCRASE,CR,1,22900.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919591,8773072,24-05-2020,R05,229.00
1100690014,,AC_AJCRASE,CR,1,50854.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919590,8773071,24-05-2020,R05,508.54
